configuration,architecture,test_examples,execution_correct,execution_accuracy_percent,execution_ci95_lower_percent,execution_ci95_upper_percent,program_correct,program_accuracy_percent,program_ci95_lower_percent,program_ci95_upper_percent,valid_rate_percent,executable_rate_percent,mean_latency_seconds,total_input_tokens,total_output_tokens,total_api_cost_usd,mean_cost_per_question_usd,reliability_execution_mean_percent,reliability_execution_std,reliability_program_mean_percent,reliability_program_std,execution_consistency_percent,execution_flip_rate_percent,exact_program_agreement_percent
A,Single-Agent,1147,369,32.170880557977334,29.530880107154267,34.92990666193589,315,27.46294681778553,24.958418745319616,30.117930300205103,98.51787271142109,97.38448125544899,2.6280686710554164,6938052.0,34002.0,0.4936240793,0.00043036101072362683,32.333333333333336,1.5275252316519468,23.0,1.0,92.0,8.0,84.0
B,Reasoning Agent,1147,351,30.601569311246728,28.00304912303006,33.32959173820495,297,25.893635571054922,23.441983174748398,28.50621996292117,97.5588491717524,97.5588491717524,3.9103728716654778,6978233.0,102823.0,0.5295637221500006,0.0004616946139058413,34.666666666666664,1.5275252316519468,30.666666666666664,1.5275252316519485,94.0,6.0,83.0
C,Reasoning + Verification,1147,392,34.17611159546644,31.48815155563615,36.9697105401578,335,29.206625980819528,26.648012197818105,31.904054523101223,92.32781168265039,92.32781168265039,10.1803826129902,13970278.0,346725.0,1.1128137466000012,0.0009701950711421099,35.333333333333336,0.5773502691896257,31.333333333333332,0.5773502691896257,92.0,8.0,80.0
D,Reasoning + Verification + Coordinator,1147,398,34.69921534437663,31.999645586190855,37.50093181222148,343,29.90409764603313,27.325166119073913,32.61718767200325,93.9843068875327,93.9843068875327,15.162486188840397,20735719.0,524285.0,1.6618957699500019,0.001448906512598082,36.333333333333336,1.5275252316519468,31.0,1.7320508075688772,92.0,8.0,77.0
