metric,comparison,difference_percentage_points,ci95_lower_pp,ci95_upper_pp,mcnemar_exact_p,holm_adjusted_p,significant_after_holm_0_05
execution_accuracy,A_vs_B,-1.5693112467306016,-3.6044117009445626,0.46578920748335945,0.15344375016435619,0.30688750032871237,False
execution_accuracy,A_vs_C,2.0052310374891023,0.037138180081766614,3.9733238948964376,0.056027881838906855,0.16808364551672056,False
execution_accuracy,A_vs_D,2.528334786399302,0.4892943955310598,4.567375177267545,0.01889113501880906,0.07556454007523623,False
execution_accuracy,B_vs_C,3.5745422842197034,1.9389828436421643,5.210101724797242,2.5258189217190474e-05,0.00012629094608595238,True
execution_accuracy,B_vs_D,4.097646033129904,2.502433378220479,5.69285868803933,5.986670828041093e-07,3.5920024968246563e-06,True
execution_accuracy,C_vs_D,0.5231037489102005,-0.7327663047406389,1.7789738025610398,0.49661743531791575,0.49661743531791575,False
program_accuracy,A_vs_B,-1.5693112467306016,-3.531297013120352,0.3926745196591485,0.1386680064381212,0.2773360128762424,False
program_accuracy,A_vs_C,1.7436791630340016,-0.1725943838019571,3.6599527098699602,0.09012286584573216,0.2703685975371965,False
program_accuracy,A_vs_D,2.4411508282476024,0.4821542115834718,4.400147444911733,0.01843057167038302,0.07372228668153208,False
program_accuracy,B_vs_C,3.3129904097646032,1.854969014858017,4.77101180467119,1.109114621055738e-05,5.54557310527869e-05,True
program_accuracy,B_vs_D,4.0104620749782045,2.5383365539677625,5.482587595988646,9.842847414734859e-08,5.905708448840915e-07,True
program_accuracy,C_vs_D,0.6974716652136007,-0.4357760855324822,1.8307194159596833,0.2912152365458954,0.2912152365458954,False
